LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,63523
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2000 00:00:00,0                 
Time,Ampl
936477,-5.94472e-11
936478,-7.83188e-11
936479,-7.51235e-11
936480,-5.49202e-11
936481,-5.12496e-10
936482,-4.12786e-11
936483,-2.42972e-11
936484,-7.83335e-11
936485,-4.86362e-11
936486,-2.9476e-11
936487,-5.11057e-11
936488,-5.72409e-11
936489,-3.73585e-11
936490,-7.26885e-11
936491,-3.03528e-11
936492,-5.51957e-11
936493,-5.60573e-11
936494,-6.69365e-11
936495,-4.3383e-11
936496,-6.85822e-11
936497,-5.22397e-11
936498,-7.75036e-11
936499,-5.44868e-11
936500,-8.63554e-11
936501,-4.76162e-11
936502,-6.18356e-11
936503,-5.01896e-11
936504,-8.31423e-11
936505,-3.53057e-11
936506,-6.9654e-11
936507,-2.64155e-11
936508,-1.77936e-11
936509,-4.10105e-11
936510,-4.56164e-11
936511,-6.77223e-11
936512,-3.81516e-11
936513,-3.78445e-11
936514,-3.18334e-11
936515,-3.4854e-11
936516,-3.80654e-11
936517,-7.61553e-11
936518,-2.07164e-10
936519,-2.7833e-11
936520,-6.43825e-11
936521,-7.6477e-11
936522,-5.23651e-11
936523,-5.29116e-11
936524,-6.38989e-11
936525,-5.74989e-11
936526,-6.73305e-11
936527,-6.12349e-11
936528,1.34147e-12
936529,-6.34188e-11
936530,-6.2882e-11
936531,-5.92317e-11
936532,-4.41097e-11
936533,-3.84181e-11
936534,-6.99272e-11
936535,-6.95931e-11
936536,-6.99425e-11
936537,-2.87092e-11
936538,-1.10749e-10
936539,-7.85688e-11
936540,-6.16796e-11
936541,-7.44758e-11
936542,-5.548e-11
936543,-7.25424e-11
936544,-4.55154e-11
936545,-8.51612e-11
936546,-6.72694e-11
936547,-6.36217e-11
936548,-4.9793e-11
936549,-2.9082e-11
936550,-2.54137e-11
936551,-5.28832e-11
936552,-3.93165e-11
936553,-3.45641e-10
936554,-6.48746e-11
936555,-4.15934e-11
936556,-6.06676e-11
936557,-7.68569e-11
936558,-3.20309e-11
936559,-5.59456e-11
936560,-6.00845e-11
936561,-3.18512e-11
936562,-7.35306e-11
936563,-3.59074e-11
936564,-8.87175e-11
936565,-4.88828e-11
936566,-3.49906e-10
936567,-6.61641e-11
936568,-1.48734e-10
936569,-6.27585e-11
936570,-5.90582e-11
936571,-3.11702e-11
936572,-1.8288e-11
936573,-5.0374e-11
936574,-3.28351e-11
936575,-3.42065e-11
936576,-6.92548e-11
936577,-1.01438e-10
936578,-4.60596e-11
936579,-1.03972e-10
