LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,15358
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2000 00:00:00,0                 
Time,Ampl
984642,-4.90228e-13
984643,2.42947e-12
984644,-3.50171e-12
984645,1.61617e-12
984646,-2.3196e-12
984647,-3.12268e-10
984648,-6.24977e-11
984649,1.44266e-12
984650,-9.87194e-14
984651,-3.26969e-11
984652,2.6646e-12
984653,6.99148e-13
984654,-6.48319e-11
984655,-7.55107e-11
984656,-3.11098e-12
984657,-1.56752e-12
984658,2.44128e-12
984659,-9.38818e-11
984660,-5.07025e-13
984661,-2.34605e-13
984662,-6.87843e-11
984663,8.68048e-13
984664,4.3049e-13
984665,-1.39836e-12
984666,-2.00949e-12
984667,-9.18056e-13
984668,2.30845e-13
984669,-1.22803e-10
984670,5.17521e-12
984671,1.66494e-12
984672,-1.02307e-12
984673,1.21181e-12
984674,-6.82293e-11
984675,-8.40155e-13
984676,2.2703e-12
984677,2.43447e-12
984678,-3.91578e-12
984679,-2.42772e-12
984680,2.95771e-12
984681,-6.61524e-11
984682,-2.53812e-12
984683,5.94006e-13
984684,9.55351e-13
984685,-1.05407e-12
984686,-3.31641e-13
984687,2.51262e-12
984688,9.9842e-13
984689,-5.13843e-12
984690,-3.67126e-11
984691,1.33707e-12
984692,-1.55258e-11
984693,-8.66167e-13
984694,-6.50461e-11
984695,1.16648e-12
984696,-1.00715e-10
984697,-3.56094e-13
984698,-8.28091e-11
984699,-8.35827e-11
984700,3.59328e-14
984701,-8.66514e-11
984702,-2.55615e-12
984703,-2.39946e-15
984704,-1.49124e-12
984705,-3.71237e-11
984706,2.39652e-12
984707,2.65733e-12
984708,-6.4901e-13
984709,-6.10645e-11
984710,-9.87655e-13
984711,-1.26169e-10
984712,-7.75441e-11
984713,-1.48008e-10
984714,1.37812e-12
984715,9.86617e-13
984716,-5.07607e-11
984717,4.70074e-12
984718,-2.82213e-13
984719,4.3477e-13
984720,-4.49111e-12
984721,-2.13831e-12
984722,9.96021e-13
984723,-1.71391e-12
984724,-3.29109e-13
984725,2.38828e-12
984726,1.21486e-13
984727,4.00067e-13
984728,-3.68482e-13
984729,-7.36572e-13
984730,-3.44158e-12
984731,1.75666e-12
984732,9.34726e-13
984733,3.89432e-13
984734,1.63679e-12
984735,1.21234e-12
984736,2.78381e-12
984737,3.61799e-13
984738,-8.53457e-13
984739,-2.93864e-12
984740,-8.79531e-13
984741,1.87055e-12
984742,-1.76146e-12
984743,-1.81627e-14
984744,-2.23184e-12
984745,-8.71228e-13
984746,-7.37842e-11
984747,9.60671e-13
984748,-1.23345e-10
984749,-2.24669e-12
984750,-7.05756e-11
984751,-4.04732e-11
984752,1.26844e-12
984753,7.36573e-13
984754,1.15909e-13
984755,-1.29296e-12
984756,3.16034e-12
984757,-1.52024e-12
984758,7.4527e-14
984759,-3.56942e-12
984760,-7.57392e-13
984761,-1.88645e-12
984762,3.20172e-12
984763,-7.58042e-13
984764,6.19449e-14
984765,5.16886e-13
984766,-3.69758e-11
984767,1.14682e-12
984768,1.55001e-12
984769,1.05206e-12
984770,2.81176e-13
984771,-2.76053e-12
984772,1.75925e-12
984773,-6.65929e-11
984774,1.65288e-12
984775,-1.29919e-13
984776,6.40428e-12
984777,-6.03199e-15
984778,-6.19283e-11
984779,4.34452e-12
984780,-3.26191e-12
984781,-1.40984e-12
984782,1.67558e-12
984783,-7.96829e-11
984784,1.14417e-13
984785,-5.28545e-11
984786,-4.42067e-12
984787,-6.64055e-13
984788,-7.41103e-11
984789,-2.63145e-12
984790,-1.34651e-13
984791,5.79025e-13
984792,-1.25303e-10
984793,9.44003e-13
984794,7.81133e-13
984795,2.38046e-13
984796,-3.75425e-11
984797,6.81058e-15
984798,-7.02983e-11
984799,2.72271e-12
984800,2.73757e-12
984801,-6.97651e-11
984802,-2.9341e-12
984803,-3.99479e-12
984804,-7.57601e-12
984805,-2.08752e-12
984806,-2.93676e-12
984807,-4.23557e-11
984808,6.57377e-13
984809,-6.12557e-13
984810,1.79281e-13
984811,-4.72195e-13
984812,1.28952e-12
984813,4.46638e-13
984814,1.82515e-12
984815,-2.02259e-12
984816,-7.65721e-11
984817,-9.40109e-13
984818,1.52549e-12
984819,-9.36801e-13
984820,-7.6288e-11
984821,-7.74e-13
984822,8.42425e-13
984823,1.66014e-12
984824,2.63729e-12
984825,-2.88617e-11
984826,1.55675e-12
984827,-6.302e-13
984828,-8.74667e-11
984829,-1.96525e-12
984830,-3.91831e-13
984831,-7.13805e-13
984832,5.26355e-12
984833,3.42348e-12
984834,-7.60572e-13
